STATE,FL_INT,PRES_INT,PRES_EXT,PRES_PAC,Flow,VOLUME,VALVE_INS,REF
1,0,1.3,-0.44,1.03,6.03,5,20,10
1,0,1.61,-0.44,1.3,9.05,5,25,10
1,0,1.94,-0.44,1.56,11.73,5,30,10
1,0,2.37,-0.44,1.92,14.45,5,35,10
1,0,2.88,-0.44,2.34,17.11,5,40,10
1,0,3.5,-0.44,2.82,19.68,5,45,10
1,0,4.21,-0.44,3.41,22.66,5,50,10
1,0,5.06,-0.44,4.05,25.75,5.01,55,10
1,0,5.92,-0.44,4.73,28.32,5.01,60,10
1,0,6.82,-0.44,5.39,31.06,5.01,65,10
1,0,7.97,-0.44,6.24,33.56,5.01,70,10
1,0,9.02,-0.44,7.02,35.85,5.01,75,10
1,0,10.11,-0.44,7.84,38.25,5.02,80,10
1,0,11.16,-0.44,8.58,39.76,5.02,75,10
1,0,12.22,-0.44,9.28,41.36,5.02,70,10
1,0,12.87,-0.44,9.77,41.99,5.02,65,10
1,0,13.39,-0.44,10.07,42.27,5.03,60,10
1,0,13.77,-0.44,10.27,42.35,5.03,55,10
1,0,13.86,-0.44,10.27,41.61,5.03,50,10
1,0,13.83,-0.44,10.27,40.88,5.03,45,10
1,0,13.74,-0.44,10.2,39.67,5.04,40,10
1,0,13.52,-0.44,10.07,38.64,5.04,35,10
2,0,13.29,-0.44,9.91,37.17,5.04,30,10
2,0,13.07,-0.44,9.79,36.31,5.04,30,10
2,0,12.71,-0.44,9.47,33.91,5.04,30,10
2,0,11.89,-0.44,8.87,28.58,5.05,30,10
2,0,11.3,-0.44,8.52,26.79,5.05,30,10
2,0,10.97,-0.44,8.25,25.17,5.05,30,10
4,0,10.68,-0.44,8.04,23.3,5.05,30,10
4,0,9.72,-0.44,7.21,18.01,5.05,0,0
4,0,9.18,-0.44,6.81,16.76,5.05,0,0
4,0,8.63,-0.44,6.38,15.95,5.05,0,0
4,0,8.2,-0.44,6.06,14.94,5.06,0,0
4,0,7.78,-0.44,5.76,14.16,5.06,0,0
4,0,7.41,-0.44,5.46,13.75,5.06,0,0
4,0,7.1,-0.44,5.29,13.2,5.06,0,0
4,0,6.82,-0.44,5.12,12.77,5.06,0,0
4,0,6.59,-0.44,4.98,12.21,5.06,0,0
4,0,6.39,-0.44,4.84,11.7,5.06,0,0
4,0,6.19,-0.44,4.7,11.26,5.06,0,0
4,0,6,-0.44,4.58,10.23,5.06,0,0
4,0,5.79,-0.44,4.47,9.68,5.06,0,0
4,0,5.59,-0.44,4.35,9.28,5.06,0,0
4,0,5.41,-0.44,4.23,8.88,5.06,0,0
4,0,5.23,-0.44,4.12,8.27,5.06,0,0
4,0,5.06,-0.44,4.01,8.38,5.06,0,0
4,0,4.91,-0.44,3.87,8.43,5.06,0,0
4,0,4.75,-0.44,3.72,8.48,5.06,0,0
4,0,4.61,-0.44,3.61,8.78,5.07,0,0
4,0,4.48,-0.44,3.49,8.89,5.07,0,0
4,0,4.34,-0.44,3.37,8.65,5.07,0,0
4,0,4.2,-0.44,3.25,8.42,5.07,0,0
4,0,4.06,-0.44,3.12,8.14,5.07,0,0
4,0,3.93,-0.44,3.02,7.88,5.07,0,0
4,0,3.79,-0.44,2.89,7.62,5.07,0,0
4,0,3.67,-0.44,2.78,8,5.07,0,0
4,0,3.55,-0.44,2.68,8.16,5.07,0,0
4,0,3.42,-0.44,2.6,8.18,5.07,0,0
4,0,3.29,-0.44,2.53,7.87,5.07,0,0
4,0,3.16,-0.44,2.45,7.61,5.07,0,0
4,0,3.03,-0.44,2.37,7.45,5.07,0,0
4,0,2.89,-0.44,2.29,5.34,5.07,0,0
4,0,2.76,-0.44,2.18,3.47,5.07,0,0
4,0,2.62,-0.44,2.08,3.1,5.07,0,0
4,0,2.5,-0.44,1.97,1.54,5.07,0,0
4,0,2.4,-0.44,1.88,0.05,5.07,0,0
4,0,2.27,-0.44,1.78,-0.76,5.07,0,0
4,0,2.15,-0.44,1.68,-1.55,5.07,0,0
4,0,2.03,-0.44,1.59,-2.42,5.07,0,0
4,0,1.92,-0.44,1.5,-3.12,5.07,0,0
4,0,1.8,-0.44,1.41,-3.83,5.07,0,0
4,0,1.7,-0.44,1.32,-4.13,5.07,0,0
4,0,1.59,-0.44,1.25,-4.63,5.07,0,0
4,0,1.48,-0.44,1.15,-5.21,5.07,0,0
4,0,1.36,-0.44,1.06,-5.72,5.07,0,0
4,0,1.24,-0.44,0.97,-6.04,5.07,0,0
4,0,1.13,-0.44,0.88,-6.16,5.07,0,0
4,0,1.01,-0.44,0.8,-6.52,5.07,0,0
4,0,0.89,-0.44,0.72,-6.76,5.07,0,0
4,0,0.79,-0.44,0.62,-7.07,5.07,0,0
1,0,0.68,-0.44,0.54,-7.47,5.07,0,0
1,0,0.88,-0.44,0.67,-3.85,5.07,5,10
1,0,0.91,-0.44,0.76,-0.56,5.07,10,10
1,0,1.06,-0.44,0.85,2.77,5.07,15,10
1,0,1.34,-0.44,1.1,5.84,5.07,20,10
1,0,1.63,-0.44,1.34,8.67,5.07,25,10
1,0,1.98,-0.44,1.6,11.41,5.07,30,10
1,0,2.42,-0.44,1.94,13.7,5.07,35,10
1,0,2.96,-0.44,2.35,16.49,5.07,40,10
1,0,3.51,-0.44,2.8,19.01,5.07,45,10
1,0,4.29,-0.44,3.37,22.05,5.07,50,10
1,0,5.11,-0.44,4.02,24.89,5.07,55,10
1,0,5.98,-0.44,4.74,27.9,5.08,60,10
1,0,7.01,-0.44,5.48,30.68,5.08,65,10
1,0,8.1,-0.44,6.27,33.8,5.08,70,10
1,0,9.16,-0.44,7.07,36.02,5.08,75,10
1,0,10.27,-0.44,7.91,38.79,5.08,80,10
1,0,11.53,-0.44,8.77,40.75,5.09,75,10
1,0,12.5,-0.44,9.44,42.16,5.09,70,10
1,0,13.25,-0.44,9.94,43.06,5.09,65,10
1,0,13.57,-0.44,10.14,42.94,5.1,60,10
1,0,13.86,-0.44,10.34,42.75,5.1,55,10
1,0,13.97,-0.44,10.4,41.97,5.1,50,10
1,0,13.98,-0.44,10.39,41.23,5.1,45,10
1,0,13.85,-0.44,10.28,40.09,5.11,40,10
1,0,13.62,-0.44,10.09,38.77,5.11,35,10
1,0,13.32,-0.44,9.89,37.39,5.11,30,10
2,0,13.03,-0.44,9.65,35.62,5.11,25,10
2,0,12.67,-0.44,9.37,33.85,5.11,25,10
2,0,12,-0.44,8.84,29.23,5.12,25,10
2,0,11.31,-0.44,8.41,27.16,5.12,25,10
2,0,10.98,-0.44,8.15,25.74,5.12,25,10
2,0,10.68,-0.44,7.94,23.99,5.12,25,10
4,0,9.98,-0.44,7.41,20.55,5.12,25,10
4,0,9.39,-0.44,6.9,18.5,5.12,0,0
4,0,8.84,-0.44,6.52,17.45,5.12,0,0
4,0,8.4,-0.44,6.21,16.35,5.12,0,0
4,0,7.98,-0.44,5.96,15.2,5.13,0,0
4,0,7.57,-0.44,5.69,14.66,5.13,0,0
4,0,7.28,-0.44,5.46,13.99,5.13,0,0
4,0,6.99,-0.44,5.25,13.64,5.13,0,0
4,0,6.74,-0.44,5.05,13.2,5.13,0,0
4,0,6.52,-0.44,4.91,12.5,5.13,0,0
4,0,6.33,-0.44,4.76,11.76,5.13,0,0
4,0,6.12,-0.44,4.64,11.41,5.13,0,0
4,0,5.91,-0.44,4.51,11.12,5.13,0,0
4,0,5.71,-0.44,4.38,10.7,5.13,0,0
4,0,5.53,-0.44,4.26,10.05,5.13,0,0
4,0,5.35,-0.44,4.18,9.98,5.13,0,0
4,0,5.19,-0.44,4.09,9.92,5.13,0,0
4,0,5.04,-0.44,3.98,9.59,5.13,0,0
4,0,4.9,-0.44,3.88,9.47,5.14,0,0
4,0,4.76,-0.44,3.78,8.94,5.14,0,0
4,0,4.62,-0.44,3.65,8.61,5.14,0,0
4,0,4.48,-0.44,3.52,8.65,5.14,0,0
4,0,4.35,-0.44,3.4,8.41,5.14,0,0
4,0,4.22,-0.44,3.29,7.51,5.14,0,0
4,0,4.08,-0.44,3.17,7,5.14,0,0
4,0,3.96,-0.44,3.06,6.53,5.14,0,0
